"Label","Qualified API Name","Developer Name","Data Type","Description","Label"
"Record ID","Id","TTS_Agreement","Lookup()","","Agreement"
"Owner","OwnerId","TTS_Agreement","Lookup(User,Group)","","Agreement"
"Deleted","IsDeleted","TTS_Agreement","Checkbox","","Agreement"
"Agreement ID","Name","TTS_Agreement","Auto Number","","Agreement"
"Record Type","RecordTypeId","TTS_Agreement","Record Type","","Agreement"
"Created Date","CreatedDate","TTS_Agreement","Date/Time","","Agreement"
"Created By","CreatedById","TTS_Agreement","Lookup(User)","","Agreement"
"Last Modified Date","LastModifiedDate","TTS_Agreement","Date/Time","","Agreement"
"Last Modified By","LastModifiedById","TTS_Agreement","Lookup(User)","","Agreement"
"System Modstamp","SystemModstamp","TTS_Agreement","Date/Time","","Agreement"
"Last Activity Date","LastActivityDate","TTS_Agreement","Date","","Agreement"
"Last Viewed Date","LastViewedDate","TTS_Agreement","Date/Time","","Agreement"
"Last Referenced Date","LastReferencedDate","TTS_Agreement","Date/Time","","Agreement"
"Object Access Level","UserRecordAccessId","TTS_Agreement","Lookup(User Record Access)","","Agreement"
"Agreement Type","Agreement_Type__c","TTS_Agreement","Picklist","","Agreement"
"Budget","Budget__c","TTS_Agreement","Currency(16, 2)","","Agreement"
"Description","Description__c","TTS_Agreement","Long Text Area(130000)","","Agreement"
"Effective/Start Date","Effective_Date__c","TTS_Agreement","Date/Time","","Agreement"
"Expiration Date","Expiration_Date__c","TTS_Agreement","Date/Time","","Agreement"
"Governing Law","Governing_Law__c","TTS_Agreement","Text(100)","","Agreement"
"Licensee (Account)","Licensee_Account__c","TTS_Agreement","Lookup(Account)","","Agreement"
"Licensee (Contact)","Licensee__c","TTS_Agreement","Lookup(Contact)","","Agreement"
"Opportunity","Opportunity__c","TTS_Agreement","Lookup(Opportunity)","","Agreement"
"Payment Terms","Payment_terms__c","TTS_Agreement","Long Text Area(130000)","","Agreement"
"Renewal Date","Renewal_Date__c","TTS_Agreement","Date/Time","","Agreement"
"Status","Status__c","TTS_Agreement","Picklist","","Agreement"
"Technology","Technology__c","TTS_Agreement","Lookup(Technology)","","Agreement"
"Termination Date","Termination_Date__c","TTS_Agreement","Date/Time","","Agreement"
"Termination Details","Termination__c","TTS_Agreement","Long Text Area(130000)","","Agreement"
"Title","Title__c","TTS_Agreement","Text(200)","","Agreement"
"Usage Restrictions","Usage_Restrictions__c","TTS_Agreement","Long Text Area(130000)","","Agreement"
"Record ID","Id","TTS_Agreement_Deliverable","Lookup()","","Agreement Deliverable"
"Deleted","IsDeleted","TTS_Agreement_Deliverable","Checkbox","","Agreement Deliverable"
"Deliverable ID","Name","TTS_Agreement_Deliverable","Auto Number","","Agreement Deliverable"
"Created Date","CreatedDate","TTS_Agreement_Deliverable","Date/Time","","Agreement Deliverable"
"Created By","CreatedById","TTS_Agreement_Deliverable","Lookup(User)","","Agreement Deliverable"
"Last Modified Date","LastModifiedDate","TTS_Agreement_Deliverable","Date/Time","","Agreement Deliverable"
"Last Modified By","LastModifiedById","TTS_Agreement_Deliverable","Lookup(User)","","Agreement Deliverable"
"System Modstamp","SystemModstamp","TTS_Agreement_Deliverable","Date/Time","","Agreement Deliverable"
"Last Activity Date","LastActivityDate","TTS_Agreement_Deliverable","Date","","Agreement Deliverable"
"Last Viewed Date","LastViewedDate","TTS_Agreement_Deliverable","Date/Time","","Agreement Deliverable"
"Last Referenced Date","LastReferencedDate","TTS_Agreement_Deliverable","Date/Time","","Agreement Deliverable"
"Object Access Level","UserRecordAccessId","TTS_Agreement_Deliverable","Lookup(User Record Access)","","Agreement Deliverable"
"Agreement","Agreement__c","TTS_Agreement_Deliverable","Master-Detail(Agreement)","","Agreement Deliverable"
"Deadline","Deadline__c","TTS_Agreement_Deliverable","Date/Time","","Agreement Deliverable"
"Description","Description__c","TTS_Agreement_Deliverable","Long Text Area(130000)","","Agreement Deliverable"
"Expected Outcome","Expected_Outcome__c","TTS_Agreement_Deliverable","Long Text Area(32768)","","Agreement Deliverable"
"Name","Name__c","TTS_Agreement_Deliverable","Text(200)","","Agreement Deliverable"
"Resource Details","Resource_Details__c","TTS_Agreement_Deliverable","Long Text Area(32768)","","Agreement Deliverable"
"Status","Status__c","TTS_Agreement_Deliverable","Picklist","","Agreement Deliverable"
"Type","Type__c","TTS_Agreement_Deliverable","Picklist","","Agreement Deliverable"
"Record ID","Id","TTS_Agreement_Party","Lookup()","","Agreement Party"
"Deleted","IsDeleted","TTS_Agreement_Party","Checkbox","","Agreement Party"
"Agreement Party ID","Name","TTS_Agreement_Party","Auto Number","","Agreement Party"
"Created Date","CreatedDate","TTS_Agreement_Party","Date/Time","","Agreement Party"
"Created By","CreatedById","TTS_Agreement_Party","Lookup(User)","","Agreement Party"
"Last Modified Date","LastModifiedDate","TTS_Agreement_Party","Date/Time","","Agreement Party"
"Last Modified By","LastModifiedById","TTS_Agreement_Party","Lookup(User)","","Agreement Party"
"System Modstamp","SystemModstamp","TTS_Agreement_Party","Date/Time","","Agreement Party"
"Last Activity Date","LastActivityDate","TTS_Agreement_Party","Date","","Agreement Party"
"Last Viewed Date","LastViewedDate","TTS_Agreement_Party","Date/Time","","Agreement Party"
"Last Referenced Date","LastReferencedDate","TTS_Agreement_Party","Date/Time","","Agreement Party"
"Object Access Level","UserRecordAccessId","TTS_Agreement_Party","Lookup(User Record Access)","","Agreement Party"
"Agreement","Agreement__c","TTS_Agreement_Party","Master-Detail(Agreement)","","Agreement Party"
"Account","Account__c","TTS_Agreement_Party","Lookup(Account)","","Agreement Party"
"Contact","Contact__c","TTS_Agreement_Party","Lookup(Contact)","","Agreement Party"
"Type","Type__c","TTS_Agreement_Party","Picklist","","Agreement Party"
"Record ID","Id","TTS_Applicant","Lookup()","","Applicant"
"Deleted","IsDeleted","TTS_Applicant","Checkbox","","Applicant"
"Applicant ID","Name","TTS_Applicant","Auto Number","","Applicant"
"Created Date","CreatedDate","TTS_Applicant","Date/Time","","Applicant"
"Created By","CreatedById","TTS_Applicant","Lookup(User)","","Applicant"
"Last Modified Date","LastModifiedDate","TTS_Applicant","Date/Time","","Applicant"
"Last Modified By","LastModifiedById","TTS_Applicant","Lookup(User)","","Applicant"
"System Modstamp","SystemModstamp","TTS_Applicant","Date/Time","","Applicant"
"Last Activity Date","LastActivityDate","TTS_Applicant","Date","","Applicant"
"Last Viewed Date","LastViewedDate","TTS_Applicant","Date/Time","","Applicant"
"Last Referenced Date","LastReferencedDate","TTS_Applicant","Date/Time","","Applicant"
"Object Access Level","UserRecordAccessId","TTS_Applicant","Lookup(User Record Access)","","Applicant"
"Protection","Protection__c","TTS_Applicant","Master-Detail(Protection)","","Applicant"
