iEdison Field,iEdison Path,Required,iEdison Type,Length,iEdison Description,TTS Object,TTS API Name,TTS Label,Mapping Type,Transformation Notes
institutionCode,root,Yes,String,10,Unique code assigned to the reporting organisation by NIST,(org config),—,—,Config,Store as a custom metadata / org-level setting. Not a per-record field.
inventionTitle,root,Yes,String,255,Title as it appears in the invention report,Technology,techstarter__IP_Title__c,Technology Title,Direct,
inventionReportDate,root,Yes,String,10,Date of initial disclosure (MM/DD/YYYY),Technology,techstarter__IP_Disclosure_Date__c,Disclosure Date,Direct + Transform,Convert Salesforce Date to MM/DD/YYYY string
inventors[].firstName,inventors,Yes,String,80,Inventor first name,Contact (via TTS_Inventor__c),Contact.FirstName,First Name,Derived,Traverse TTS_Inventor__c.techstarter__IP_Contribution__c → TTS_Inventor__c.techstarter__IP_Original_Inventor_Name__c → Contact.FirstName
inventors[].lastName,inventors,Yes,String,80,Inventor last name,Contact (via TTS_Inventor__c),Contact.LastName,Last Name,Derived,Same traversal as firstName
inventors[].middleInitial,inventors,No,String,30,Middle name or first initial,Contact (via TTS_Inventor__c),Contact.MiddleName,Middle Name,Derived,Optional; same traversal
inventors[].fedEmployee,inventors,No,Boolean,—,true if inventor is a federal government employee,—,—,—,Gap,No federal employee flag on TTS_Inventor__c or Contact. New field needed on Inventor.
inventors[].fedAgency,inventors,No,String,80,Federal agency the inventor works for (if fedEmployee = true),—,—,—,Gap,No agency field on Inventor or Contact. New field needed on Inventor.
inventors[].primaryAgency,inventors,Yes,String,50,Primary federal agency designated for this invention,—,—,—,Gap,Required per inventor. No agency assignment field in TTS. May default to the fundingAgreements agency if only one funder.
fundingAgreements[].agency,fundingAgreements,Yes,String,80,Federal agency making the award (e.g. NIH / NSF / DOD),—,—,—,Gap,TTS only has a checkbox (techstarter__IP_Sponsored_Program__c) and free-text. A structured Funding Agreement object is needed.
fundingAgreements[].grantNumber,fundingAgreements,Yes,String,40,Grant or contract number from the federal award,—,—,—,Gap,Same gap as agency above. No grant number field exists on Technology.
fundingAgreements[].awardType,fundingAgreements,No,String,5,Prime Award or Sub-Award,—,—,—,Gap,Dependent on new Funding Agreement object.
fundingAgreements[].agreementType,fundingAgreements,No,String,80,"Agreement type (Grant, Contract, Cooperative Agreement, Other Funding Agreement)",—,—,—,Gap,Dependent on new Funding Agreement object.
subContractInfos[].subContractNumber,subContractInfos,Conditional,String,150,Additional grant/contract number for subcontracts,—,—,—,Gap,No subcontract structure in TTS. Dependent on Funding Agreement object.
subContractInfos[].contractorName,subContractInfos,No,String,120,Subcontractor name,Account,Account.Name,Account Name,Derived,If subcontractor is an Account in Salesforce; requires link from Funding Agreement to Account.
subContractInfos[].contractorUei,subContractInfos,No,String,12,Unique Entity Identifier (UEI) of subcontractor,—,—,—,Gap,No UEI field on Account in TTS.
subContractInfos[].contractorCity,subContractInfos,No,String,35,Subcontractor city,Account,Account.BillingCity,Billing City,Derived,Standard Account field.
subContractInfos[].contractorState,subContractInfos,No,String,2,Subcontractor state code (2-char),Account,Account.BillingState,Billing State,Derived + Transform,May need mapping to 2-char state abbreviation.
subContractInfos[].contractorCountry,subContractInfos,No,String,15,Subcontractor country,Account,Account.BillingCountry,Billing Country,Derived + Transform,Must match iEdison country name list (Section 12.4).
inventionDocketNumber,root,No,String,30,Internal reference number for tracking the invention,Technology,techstarter__IP_External_Reference__c,External Reference,Direct,Can also use a dedicated new field (techstarter__iEdison_Docket_Number__c) to avoid collision with other external refs.
inventionReportNumber,root,Response only,String,25,Auto-generated iEdison identifier returned after creation,Technology,techstarter__IP_External_Reference__c,External Reference,Derived,iEdison generates this on create. Must be written back to the TTS record. Dedicated storage field recommended (see Gap Candidates).
parentInventionNumber,root,No,String,25,iEdison report number of the parent invention (if this is a child),Technology (parent),techstarter__IP_ParentIP__c,Parent Technology,Derived,Requires the parent Technology record to also have its iEdison report number stored.
firstPublicationDate,root,No,String,10,Date of first public disclosure (MM/DD/YYYY),Technology,techstarter__IP_Public_Disclosure__c,Public Disclosure Date,Direct + Transform,Convert Salesforce Date to MM/DD/YYYY string.
